,Area Code,State,Market,Market Size
0,203,Connecticut,East,Small Market
1,206,Washington,West,Small Market
2,209,California,West,Major Market
3,210,Texas,South,Major Market
4,212,New York,East,Major Market
5,213,California,West,Major Market
6,214,Texas,South,Major Market
7,216,Ohio,Central,Major Market
8,217,Illinois,Central,Major Market
9,224,Illinois,Central,Major Market
10,225,Louisiana,South,Small Market
11,234,Ohio,Central,Major Market
12,239,Florida,East,Major Market
13,253,Washington,West,Small Market
14,254,Texas,South,Major Market
15,262,Wisconsin,Central,Small Market
16,281,Texas,South,Major Market
17,303,Colorado,Central,Major Market
18,305,Florida,East,Major Market
19,309,Illinois,Central,Major Market
20,310,California,West,Major Market
21,312,Illinois,Central,Major Market
22,314,Missouri,Central,Small Market
23,315,New York,East,Major Market
24,318,Louisiana,South,Small Market
25,319,Iowa,Central,Small Market
26,321,Florida,East,Major Market
27,323,California,West,Major Market
28,325,Texas,South,Major Market
29,330,Ohio,Central,Major Market
30,337,Louisiana,South,Small Market
31,339,Massachusetts,East,Major Market
32,347,New York,East,Major Market
33,351,Massachusetts,East,Major Market
34,352,Florida,East,Major Market
35,360,Washington,West,Small Market
36,361,Texas,South,Major Market
37,386,Florida,East,Major Market
38,405,Oklahoma,South,Small Market
39,407,Florida,East,Major Market
40,408,California,West,Major Market
41,409,Texas,South,Major Market
42,413,Massachusetts,East,Major Market
43,414,Wisconsin,Central,Small Market
44,415,California,West,Major Market
45,417,Missouri,Central,Small Market
46,419,Ohio,Central,Major Market
47,425,Washington,West,Small Market
48,430,Texas,South,Major Market
49,432,Texas,South,Major Market
50,435,Utah,West,Small Market
51,440,Ohio,Central,Major Market
52,469,Texas,South,Major Market
53,475,Connecticut,East,Small Market
54,503,Oregon,West,Small Market
55,504,Louisiana,South,Small Market
56,505,New Mexico,South,Small Market
57,508,Massachusetts,East,Major Market
58,509,Washington,West,Small Market
59,510,California,West,Major Market
60,512,Texas,South,Major Market
61,513,Ohio,Central,Major Market
62,515,Iowa,Central,Small Market
63,516,New York,East,Major Market
64,518,New York,East,Major Market
65,530,California,West,Major Market
66,541,Oregon,West,Small Market
67,559,California,West,Major Market
68,561,Florida,East,Major Market
69,562,California,West,Major Market
70,563,Iowa,Central,Small Market
71,567,Ohio,Central,Major Market
72,573,Missouri,Central,Small Market
73,580,Oklahoma,South,Small Market
74,585,New York,East,Major Market
75,603,New Hampshire,East,Small Market
76,607,New York,East,Major Market
77,608,Wisconsin,Central,Small Market
78,614,Ohio,Central,Major Market
79,617,Massachusetts,East,Major Market
80,618,Illinois,Central,Major Market
81,619,California,West,Major Market
82,626,California,West,Major Market
83,630,Illinois,Central,Major Market
84,631,New York,East,Major Market
85,636,Missouri,Central,Small Market
86,641,Iowa,Central,Small Market
87,646,New York,East,Major Market
88,650,California,West,Major Market
89,660,Missouri,Central,Small Market
90,661,California,West,Major Market
91,682,Texas,South,Major Market
92,702,Nevada,West,Small Market
93,707,California,West,Major Market
94,708,Illinois,Central,Major Market
95,712,Iowa,Central,Small Market
96,713,Texas,South,Major Market
97,714,California,West,Major Market
98,715,Wisconsin,Central,Small Market
99,716,New York,East,Major Market
100,718,New York,East,Major Market
101,719,Colorado,Central,Major Market
102,720,Colorado,Central,Major Market
103,727,Florida,East,Major Market
104,740,Ohio,Central,Major Market
105,754,Florida,East,Major Market
106,760,California,West,Major Market
107,772,Florida,East,Major Market
108,773,Illinois,Central,Major Market
109,774,Massachusetts,East,Major Market
110,775,Nevada,West,Small Market
111,781,Massachusetts,East,Major Market
112,786,Florida,East,Major Market
113,801,Utah,West,Small Market
114,805,California,West,Major Market
115,806,Texas,South,Major Market
116,813,Florida,East,Major Market
117,815,Illinois,Central,Major Market
118,816,Missouri,Central,Small Market
119,817,Texas,South,Major Market
120,818,California,West,Major Market
121,830,Texas,South,Major Market
122,831,California,West,Major Market
123,832,Texas,South,Major Market
124,845,New York,East,Major Market
125,847,Illinois,Central,Major Market
126,850,Florida,East,Major Market
127,857,Massachusetts,East,Major Market
128,858,California,West,Major Market
129,860,Connecticut,East,Small Market
130,863,Florida,East,Major Market
131,903,Texas,South,Major Market
132,904,Florida,East,Major Market
133,909,California,West,Major Market
134,914,New York,East,Major Market
135,915,Texas,South,Major Market
136,916,California,West,Major Market
137,917,New York,East,Major Market
138,918,Oklahoma,South,Small Market
139,920,Wisconsin,Central,Small Market
140,925,California,West,Major Market
141,936,Texas,South,Major Market
142,937,Ohio,Central,Major Market
143,940,Texas,South,Major Market
144,941,Florida,East,Major Market
145,949,California,West,Major Market
146,951,California,West,Major Market
147,954,Florida,East,Major Market
148,956,Texas,South,Major Market
149,959,Connecticut,East,Small Market
150,970,Colorado,Central,Major Market
151,971,Oregon,West,Small Market
152,972,Texas,South,Major Market
153,978,Massachusetts,East,Major Market
154,979,Texas,South,Major Market
155,985,Louisiana,South,Small Market
